state,max,constant,subtract,percent
Tas,375000,5935,200000,4
Tas,725000,12935,375000,4.25
Tas,99999999,27810,725000,4.5
Vic,960000,2870,130000,6
Vic,99999999,0,0,5.5
NSW,310000,1340,83000,3.5
NSW,1033000,9285,310000,4.5
NSW,99999999,41820,1033000,5.5
WA,500000,7790,250000,4.75
WA,99999999,19665,500000,5.15
Qld,540000,1050,75000,3.5
Qld,1000000,17325,540000,4.5
Qld,99999999,38025,1000000,5.75
SA,300000,8995,250000,4.75
SA,500000,11330,300000,5
SA,99999999,21330,500000,5.5
NT,525000,0,0,1.5066
NT,3000000,0,0,4.95
NT,5000000,0,0,5.75
ACT,500000,4600,300000,3.4
ACT,750000,11400,500000,4.32
ACT,1000000,22200,750000,5.9
ACT,1455000,36950,1000000,6.4
ACT,99999999,0,0,4.54
